,best_epoch,best_test_loss,datasetname,model,n_normflows,percent,test_error_rate,test_measures
76,645.0,2.61871794158,boston,radialflowdet,8,0.25,3.53902482986,best_val_loss
77,0.0,inf,boston,radialflowdet,20,0.25,inf,best_val_loss
78,530.0,1.45813945695,boston,radialflowdet,1,0.5,3.57225799561,best_val_loss
79,339.0,12.7809523414,boston,radialflowdet,2,0.5,3.39601874352,best_val_loss
80,690.0,2.31107996024,boston,radialflowdet,3,0.5,5.51117706299,best_val_loss
81,321.0,1.34864515417,boston,radialflowdet,4,0.5,3.29759192467,best_val_loss
82,415.0,4.56909553677,boston,radialflowdet,8,0.5,3.5104393959,best_val_loss
83,0.0,inf,boston,radialflowdet,20,0.5,inf,best_val_loss
84,204.0,2.28936898475,boston,radialflowdet,1,1.0,3.0069565773,best_val_loss
85,267.0,1.23013393552,boston,radialflowdet,2,1.0,2.83200979233,best_val_loss
86,228.0,6.2149626788,boston,radialflowdet,3,1.0,3.14289140701,best_val_loss
87,104.0,36.4420471565,boston,radialflowdet,4,1.0,3.23058366776,best_val_loss
88,288.0,1.15329383401,boston,radialflowdet,8,1.0,3.3363711834,best_val_loss
89,0.0,inf,boston,radialflowdet,20,1.0,inf,best_val_loss
90,1419.0,2.82580745921,boston,baselineplus,1,0.25,13.7516555786,best_val_loss
91,911.0,6.04413320504,boston,baselineplus,2,0.25,9.61905002594,best_val_loss
92,279.0,83.2773202634,boston,baselineplus,3,0.25,8.64718532562,best_val_loss
93,1622.0,21.6578183642,boston,baselineplus,4,0.25,10.6382751465,best_val_loss
94,2073.0,218.378907596,boston,baselineplus,8,0.25,8.84328842163,best_val_loss
95,1569.0,268.304370955,boston,baselineplus,20,0.25,10.920712471,best_val_loss
96,627.0,4.19620768229,boston,baselineplus,1,0.5,17.1409244537,best_val_loss
97,1100.0,11.3105374505,boston,baselineplus,2,0.5,8.48213863373,best_val_loss
98,809.0,13.9157037174,boston,baselineplus,3,0.5,11.7235136032,best_val_loss
99,524.0,5.8950808656,boston,baselineplus,4,0.5,25.9715442657,best_val_loss
100,476.0,98.098367504,boston,baselineplus,8,0.5,8.49451255798,best_val_loss
101,653.0,31.9485724954,boston,baselineplus,20,0.5,34.0841331482,best_val_loss
102,1920.0,3.67699312696,boston,baselineplus,1,1.0,10.9229793549,best_val_loss
103,314.0,5.65425573611,boston,baselineplus,2,1.0,9.65913772583,best_val_loss
104,2032.0,4.8433787028,boston,baselineplus,3,1.0,11.807100296,best_val_loss
105,1341.0,8.16232060451,boston,baselineplus,4,1.0,11.5392875671,best_val_loss
106,1979.0,7.66773074281,boston,baselineplus,8,1.0,11.0090055466,best_val_loss
107,311.0,80.9229208254,boston,baselineplus,20,1.0,10.4621477127,best_val_loss
108,742.0,1476.0261389,boston,planarflow,1,0.25,17.1605186462,best_val_loss
109,153.0,1737.14590993,boston,planarflow,2,0.25,794.809692383,best_val_loss
110,497.0,3902.74642914,boston,planarflow,3,0.25,8.29109382629,best_val_loss
111,124.0,1143.26819087,boston,planarflow,4,0.25,226.433425903,best_val_loss
112,320.0,19786.872549,boston,planarflow,8,0.25,566.455505371,best_val_loss
113,0.0,inf,boston,planarflow,20,0.25,inf,best_val_loss
114,539.0,4.42747736912,boston,planarflow,1,0.5,13.3317098618,best_val_loss
115,352.0,14.6174262552,boston,planarflow,2,0.5,14.694270134,best_val_loss
116,353.0,11.8885898964,boston,planarflow,3,0.5,10.6818189621,best_val_loss
117,221.0,1338.91337316,boston,planarflow,4,0.5,155.724655151,best_val_loss
118,723.0,10.4180425008,boston,planarflow,8,0.5,6.91790390015,best_val_loss
119,0.0,inf,boston,planarflow,20,0.5,inf,best_val_loss
120,329.0,6.16133536545,boston,planarflow,1,1.0,7.92382001877,best_val_loss
121,361.0,4.36326943192,boston,planarflow,2,1.0,11.3530197144,best_val_loss
122,359.0,7.24649586397,boston,planarflow,3,1.0,8.93759632111,best_val_loss
123,332.0,177.628221624,boston,planarflow,4,1.0,7.92395114899,best_val_loss
124,471.0,8.28717549642,boston,planarflow,8,1.0,19.9731483459,best_val_loss
125,0.0,inf,boston,planarflow,20,1.0,inf,best_val_loss
126,656.0,6.0723733341,boston,baselinedet,1,0.25,22.7282485962,best_val_loss
127,160.0,2.80535858753,boston,baselinedet,2,0.25,20.7590007782,best_val_loss
128,428.0,2.6985913445,boston,baselinedet,3,0.25,21.5396308899,best_val_loss
129,22.0,2.26682520848,boston,baselinedet,4,0.25,21.0732765198,best_val_loss
130,123.0,2.74865902171,boston,baselinedet,8,0.25,23.6867828369,best_val_loss
131,380.0,1.27487332213,boston,baselinedet,20,0.25,7.12345123291,best_val_loss
132,786.0,0.812075671028,boston,baselinedet,1,0.5,5.00321435928,best_val_loss
133,249.0,0.730846255433,boston,baselinedet,2,0.5,4.87576627731,best_val_loss
134,147.0,1.99123472326,boston,baselinedet,3,0.5,14.8944950104,best_val_loss
135,96.0,1.578956604,boston,baselinedet,4,0.5,10.2021083832,best_val_loss
136,302.0,0.763446882659,boston,baselinedet,8,0.5,4.46878194809,best_val_loss
137,238.0,0.62991400326,boston,baselinedet,20,0.5,4.05984354019,best_val_loss
138,402.0,0.429225061454,boston,baselinedet,1,1.0,3.30047655106,best_val_loss
139,278.0,0.523443970026,boston,baselinedet,2,1.0,3.44690513611,best_val_loss
140,212.0,0.475862989239,boston,baselinedet,3,1.0,3.36770486832,best_val_loss
141,151.0,0.262828901702,boston,baselinedet,4,1.0,2.69449973106,best_val_loss
142,248.0,1.29908378451,boston,baselinedet,8,1.0,8.72104358673,best_val_loss
143,180.0,0.333007924697,boston,baselinedet,20,1.0,3.07913136482,best_val_loss
144,522.0,243.368203677,boston,radialflow,1,0.25,8.42138957977,best_val_loss
145,469.0,1.92538290693,boston,radialflow,2,0.25,9.51483631134,best_val_loss
146,567.0,108.159961754,boston,radialflow,3,0.25,7.66336536407,best_val_loss
147,716.0,3.6051665892,boston,radialflow,4,0.25,7.54193401337,best_val_loss
148,400.0,2.24562980769,boston,radialflow,8,0.25,7.18436908722,best_val_loss
149,0.0,inf,boston,radialflow,20,0.25,inf,best_val_loss
150,341.0,2.47720137671,boston,radialflow,1,0.5,6.79956102371,best_val_loss
151,247.0,4.75882413496,boston,radialflow,2,0.5,7.81026124954,best_val_loss
152,239.0,79.9917846435,boston,radialflow,3,0.5,9.89348697662,best_val_loss
153,730.0,3.06437715946,boston,radialflow,4,0.5,7.4273223877,best_val_loss
154,332.0,3.8998225832,boston,radialflow,8,0.5,7.84070062637,best_val_loss
155,0.0,inf,boston,radialflow,20,0.5,inf,best_val_loss
156,416.0,6.51960692667,boston,radialflow,1,1.0,9.45751094818,best_val_loss
157,241.0,2.70524768387,boston,radialflow,2,1.0,3.74921178818,best_val_loss
158,521.0,13.4657721032,boston,radialflow,3,1.0,4.78518009186,best_val_loss
159,130.0,17.1562454762,boston,radialflow,4,1.0,12.4578437805,best_val_loss
160,233.0,4.61201767381,boston,radialflow,8,1.0,3.90297651291,best_val_loss
161,0.0,inf,boston,radialflow,20,1.0,inf,best_val_loss
162,302.0,1.86970549648,concrete,mixture,1,0.25,13.483590126,best_val_loss
163,314.0,15.7134430524,concrete,mixture,2,0.25,18.9883079529,best_val_loss
164,259.0,3.65648302986,concrete,mixture,3,0.25,15.1504669189,best_val_loss
165,130.0,299.336851546,concrete,mixture,4,0.25,56.4443855286,best_val_loss
166,236.0,244.10196071,concrete,mixture,8,0.25,108.342536926,best_val_loss
167,313.0,29.6439419348,concrete,mixture,20,0.25,99.6214675903,best_val_loss
168,179.0,5.74968460231,concrete,mixture,1,0.5,10.853302002,best_val_loss
169,236.0,3.60570377979,concrete,mixture,2,0.5,10.3985052109,best_val_loss
170,414.0,2.64217880397,concrete,mixture,3,0.5,19.5389156342,best_val_loss
171,273.0,1837.59450761,concrete,mixture,4,0.5,18.8590354919,best_val_loss
172,359.0,16.9190661977,concrete,mixture,8,0.5,11.7294101715,best_val_loss
173,284.0,16.4530272252,concrete,mixture,20,0.5,121.367553711,best_val_loss
174,236.0,21.0478179339,concrete,mixture,1,1.0,18.6025657654,best_val_loss
175,220.0,3.68486008135,concrete,mixture,2,1.0,19.4060401917,best_val_loss
176,256.0,4.93225912446,concrete,mixture,3,1.0,14.2679128647,best_val_loss
177,204.0,4.26632601544,concrete,mixture,4,1.0,8.81857299805,best_val_loss
178,455.0,16.6571081958,concrete,mixture,8,1.0,18.665599823,best_val_loss
179,48.0,142.500126811,concrete,mixture,20,1.0,150.913284302,best_val_loss
180,242.0,2.31745621765,concrete,baseline,1,0.25,11.9094667435,best_val_loss
181,240.0,5.75863514132,concrete,baseline,2,0.25,18.4334392548,best_val_loss
182,436.0,2.16010810334,concrete,baseline,3,0.25,15.1525726318,best_val_loss
183,255.0,2.16882487177,concrete,baseline,4,0.25,18.8758811951,best_val_loss
184,955.0,1.85768601501,concrete,baseline,8,0.25,19.5996952057,best_val_loss
185,230.0,1.82536175182,concrete,baseline,20,0.25,12.3224334717,best_val_loss
186,156.0,3.18908009946,concrete,baseline,1,0.5,9.38620758057,best_val_loss
187,275.0,2.27143015445,concrete,baseline,2,0.5,13.8209238052,best_val_loss
188,693.0,2.68743748341,concrete,baseline,3,0.5,19.1371498108,best_val_loss
189,701.0,2.0082812263,concrete,baseline,4,0.5,18.2053890228,best_val_loss
190,164.0,3.23654352577,concrete,baseline,8,0.5,18.3068714142,best_val_loss
191,262.0,2.21051869809,concrete,baseline,20,0.5,13.9147520065,best_val_loss
192,559.0,4.19558493605,concrete,baseline,1,1.0,19.0340671539,best_val_loss
193,175.0,2.76615890947,concrete,baseline,2,1.0,18.9739551544,best_val_loss
194,120.0,2.63385246795,concrete,baseline,3,1.0,14.1603975296,best_val_loss
195,142.0,4.24004408457,concrete,baseline,4,1.0,7.31844329834,best_val_loss
196,403.0,2.95263538546,concrete,baseline,8,1.0,8.74631690979,best_val_loss
197,118.0,3.12026599773,concrete,baseline,20,1.0,11.0616292953,best_val_loss
198,251.0,1.54733424511,concrete,planarflowdet,1,0.25,8.88837337494,best_val_loss
199,202.0,30.0308026064,concrete,planarflowdet,2,0.25,15.5508346558,best_val_loss
200,384.0,2.21398110992,concrete,planarflowdet,3,0.25,79.9087524414,best_val_loss
201,272.0,2.49568131826,concrete,planarflowdet,4,0.25,21.4372730255,best_val_loss
