,batch_size,best_epoch,best_test_loss,datasetname,minus_log_s1,model,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate,percent,test_error_rate,test_measures
38,100.0,758.0,42.6099679984,boston,4.0,planarflowdet,3,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,123.577964783,best_val_loss
39,10.0,85.0,6975.66837086,boston,1.0,planarflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,861.595275879,best_val_loss
40,100.0,176.0,25482.4340533,boston,2.0,planarflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,1561.38000488,best_val_loss
41,10.0,975.0,83953.3085938,boston,2.0,planarflowdet,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,3859.98339844,best_val_loss
42,100.0,549.0,5.50234267291,boston,1.0,planarflowdet,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,20.1661529541,best_val_loss
43,100.0,608.0,4.0214472752,boston,3.0,planarflowdet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,29.551612854,best_val_loss
44,10.0,1151.0,114.515849095,boston,5.0,planarflowdet,3,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.5,38.8910255432,best_val_loss
45,100.0,472.0,8.35274610332,boston,4.0,planarflowdet,4,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,61.5611724854,best_val_loss
46,100.0,708.0,16.0593127082,boston,4.0,planarflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,112.662635803,best_val_loss
47,10.0,755.0,49.008368997,boston,6.0,planarflowdet,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,62.8533210754,best_val_loss
48,10.0,450.0,2.10434633143,boston,2.0,planarflowdet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.98876667023,best_val_loss
49,100.0,731.0,3.32480456782,boston,4.0,planarflowdet,2,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,37.3707618713,best_val_loss
50,100.0,293.0,6.41870925006,boston,4.0,planarflowdet,3,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,33.6698265076,best_val_loss
51,10.0,422.0,24.8199229521,boston,5.0,planarflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,12.5454063416,best_val_loss
52,100.0,592.0,5.88857104732,boston,1.0,planarflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,69.1343307495,best_val_loss
53,100.0,474.0,14.8608027439,boston,3.0,planarflowdet,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,725.891235352,best_val_loss
54,10.0,293.0,4.43237394445,boston,6.0,baselinedetplus,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,37.6168556213,best_val_loss
55,10.0,96.0,7.17219094669,boston,6.0,baselinedetplus,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,35.8426437378,best_val_loss
56,100.0,65.0,4.34996122472,boston,6.0,baselinedetplus,3,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.25,58.6982154846,best_val_loss
57,10.0,59.0,7.21135277842,boston,1.0,baselinedetplus,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,63.2104187012,best_val_loss
58,100.0,114.0,9.65694352692,boston,3.0,baselinedetplus,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.25,70.9635162354,best_val_loss
59,10.0,263.0,25.5550872204,boston,5.0,baselinedetplus,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,162.593109131,best_val_loss
60,10.0,194.0,2.69594259823,boston,4.0,baselinedetplus,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,24.7617721558,best_val_loss
61,10.0,282.0,3.18665807387,boston,4.0,baselinedetplus,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.5,43.1843719482,best_val_loss
62,10.0,196.0,2.45355748195,boston,6.0,baselinedetplus,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,28.586183548,best_val_loss
63,10.0,49.0,3.13345606187,boston,1.0,baselinedetplus,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,49.3034706116,best_val_loss
64,10.0,51.0,5.75131584616,boston,5.0,baselinedetplus,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,63.3422584534,best_val_loss
65,10.0,54.0,6.13495052562,boston,6.0,baselinedetplus,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,99.5759811401,best_val_loss
66,10.0,63.0,2.00945551255,boston,2.0,baselinedetplus,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,17.2476882935,best_val_loss
67,100.0,100.0,6.43242869658,boston,4.0,baselinedetplus,2,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,35.5765457153,best_val_loss
68,10.0,153.0,2.35845289043,boston,4.0,baselinedetplus,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,23.5508747101,best_val_loss
69,10.0,224.0,2.75864455279,boston,5.0,baselinedetplus,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,22.9203910828,best_val_loss
70,10.0,101.0,2.82533952302,boston,3.0,baselinedetplus,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,34.0186538696,best_val_loss
71,10.0,70.0,6.45759073893,boston,7.0,baselinedetplus,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,79.1482772827,best_val_loss
72,10.0,312.0,11.1507518993,boston,6.0,radialflowdet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,5.51004981995,best_val_loss
73,100.0,624.0,1.18840067994,boston,2.0,radialflowdet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,3.2193198204,best_val_loss
74,10.0,663.0,4.80649678847,boston,5.0,radialflowdet,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,3.80023670197,best_val_loss
75,10.0,576.0,0.909020517387,boston,1.0,radialflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,4.10910844803,best_val_loss
76,100.0,645.0,2.61871794158,boston,2.0,radialflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,3.53902482986,best_val_loss
77,10.0,0.0,inf,boston,2.0,radialflowdet,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,inf,best_val_loss
78,100.0,530.0,1.45813945695,boston,1.0,radialflowdet,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,3.57225799561,best_val_loss
79,100.0,339.0,12.7809523414,boston,3.0,radialflowdet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,3.39601874352,best_val_loss
