,datasetname,model,n_normflows,test_measures,value0,value1,value2
69,boston,planarflowdet,4,val_error_rate,3.54168748856,5.10251092911,6.21167707443
70,boston,planarflowdet,8,val_error_rate,15.6657342911,19.2055492401,30.2748622894
71,boston,planarflowdet,20,val_error_rate,14.0154266357,14.3496322632,34.3084449768
72,boston,baselinedetplus,1,val_error_rate,3.04002332687,3.45184636116,3.90599536896
73,boston,baselinedetplus,2,val_error_rate,2.53250575066,2.5851957798,2.67211914062
74,boston,baselinedetplus,3,val_error_rate,2.44667291641,2.56551408768,2.87285590172
75,boston,baselinedetplus,4,val_error_rate,4.79372262955,6.55800247192,6.86426115036
76,boston,baselinedetplus,8,val_error_rate,7.74885129929,7.91623353958,8.25266933441
77,boston,baselinedetplus,20,val_error_rate,11.8536586761,12.6624660492,15.1626682281
78,boston,radialflowdet,1,val_error_rate,2.5492503643,2.55572390556,2.71331620216
79,boston,radialflowdet,2,val_error_rate,2.13955211639,2.25950288773,2.45857906342
80,boston,radialflowdet,3,val_error_rate,2.43299388885,2.49962925911,2.58746051788
81,boston,radialflowdet,4,val_error_rate,2.41144275665,2.61484336853,2.69310665131
82,boston,radialflowdet,8,val_error_rate,2.26179718971,2.26647639275,2.32053852081
83,boston,radialflowdet,20,val_error_rate,inf,inf,inf
84,boston,baselineplus,1,val_error_rate,3.87702393532,4.02678871155,4.47318267822
85,boston,baselineplus,2,val_error_rate,7.14508390427,7.17326068878,9.0462884903
86,boston,baselineplus,3,val_error_rate,6.98304271698,8.91972827911,8.99601078033
87,boston,baselineplus,4,val_error_rate,6.93600606918,7.11885643005,7.6159324646
88,boston,baselineplus,8,val_error_rate,7.88606071472,10.1618928909,10.1958274841
89,boston,baselineplus,20,val_error_rate,7.18408584595,7.39049386978,7.50292158127
90,boston,planarflow,1,val_error_rate,3.79506254196,3.92439842224,4.02379608154
91,boston,planarflow,2,val_error_rate,3.5989420414,5.7553319931,7.61054086685
92,boston,planarflow,3,val_error_rate,3.07006502151,3.59218454361,3.61293005943
93,boston,planarflow,4,val_error_rate,4.00755310059,4.15983486176,4.16528511047
94,boston,planarflow,8,val_error_rate,5.99261808395,8.00855064392,9.1359834671
95,boston,planarflow,20,val_error_rate,inf,inf,inf
96,boston,baselinedet,1,val_error_rate,2.8809633255,3.11153936386,3.18752980232
97,boston,baselinedet,2,val_error_rate,2.21934390068,2.65938448906,2.75524783134
98,boston,baselinedet,3,val_error_rate,2.1748611927,2.44474840164,2.50411176682
99,boston,baselinedet,4,val_error_rate,3.26218414307,3.90735602379,4.18004798889
100,boston,baselinedet,8,val_error_rate,2.39512133598,2.42540454865,2.73941659927
101,boston,baselinedet,20,val_error_rate,2.2791287899,2.65592932701,3.543592453
102,boston,radialflow,1,val_error_rate,3.87479996681,4.1137547493,5.20833587646
103,boston,radialflow,2,val_error_rate,3.54966783524,3.6809566021,4.09116792679
104,boston,radialflow,3,val_error_rate,3.4445207119,3.52038216591,3.6754899025
105,boston,radialflow,4,val_error_rate,3.25663352013,3.64473485947,3.76032376289
106,boston,radialflow,8,val_error_rate,3.45403504372,3.68407297134,4.02089452744
107,boston,radialflow,20,val_error_rate,inf,inf,inf
108,concrete,mixture,1,best_val_loss,1.48446132056,2.51094246321,2.51645493866
109,concrete,mixture,2,best_val_loss,2.38239641087,2.83383424,2.88739848803
110,concrete,mixture,3,best_val_loss,2.68451633248,2.8921431538,3.05986178819
111,concrete,mixture,4,best_val_loss,8.76079518308,18.0623474121,inf
112,concrete,mixture,8,best_val_loss,2.51517024433,2.88055428126,2.90972960551
113,concrete,mixture,20,best_val_loss,15.2809636352,15.6511743689,16.1832226579
114,concrete,baseline,1,best_val_loss,1.53641846359,1.64246135971,2.43116029309
115,concrete,baseline,2,best_val_loss,1.98336102886,1.98896420387,1.99850947883
116,concrete,baseline,3,best_val_loss,2.09425080002,2.22979217857,2.3522956602
117,concrete,baseline,4,best_val_loss,1.74023333587,1.81954130221,inf
118,concrete,baseline,8,best_val_loss,2.19333596725,2.27209948468,2.30279365458
119,concrete,baseline,20,best_val_loss,1.97436420072,2.0423261745,2.04990075224
120,concrete,planarflowdet,1,best_val_loss,1.38484837522,1.40777469348,1.52068724273
121,concrete,planarflowdet,2,best_val_loss,1.01701891089,1.11554045728,1.1291750672
122,concrete,planarflowdet,3,best_val_loss,1.36381063154,2.04635572536,2.09486271028
123,concrete,planarflowdet,4,best_val_loss,3.98976192679,5.23338591326,inf
124,concrete,planarflowdet,8,best_val_loss,1.45221524256,2.23547335936,2.57847010021
125,concrete,planarflowdet,20,best_val_loss,2.08454100906,2.13536754321,2.31920992944
126,concrete,baselinedetplus,1,best_val_loss,-0.0477794421616,0.0822959920411,0.168212285606
127,concrete,baselinedetplus,2,best_val_loss,-0.0491121353642,0.102299280064,0.123296604362
128,concrete,baselinedetplus,3,best_val_loss,0.17581851508,0.188712766094,0.206830814321
129,concrete,baselinedetplus,4,best_val_loss,0.552188340054,0.655671027399,0.775675455729
130,concrete,baselinedetplus,8,best_val_loss,0.491037553357,0.746574812038,0.884470703781
131,concrete,baselinedetplus,20,best_val_loss,0.911936277984,1.35805511475,1.36082343645
132,concrete,radialflowdet,1,best_val_loss,0.17556977945,0.176457928842,0.225089268018
133,concrete,radialflowdet,2,best_val_loss,0.249578824607,0.343127696745,0.374313087874
134,concrete,radialflowdet,3,best_val_loss,0.19324380608,0.278702985429,0.798943218108
135,concrete,radialflowdet,4,best_val_loss,0.415910939589,inf,inf
136,concrete,radialflowdet,8,best_val_loss,0.301163000018,0.342301775478,0.398504858803
137,concrete,radialflowdet,20,best_val_loss,inf,inf,inf
138,concrete,baselineplus,1,best_val_loss,1.9451326213,1.97879148641,3.58436008576
139,concrete,baselineplus,2,best_val_loss,3.90558704663,4.00176764047,4.05494609546
140,concrete,baselineplus,3,best_val_loss,3.99851932321,4.01137395059,4.06433808248
141,concrete,baselineplus,4,best_val_loss,4.16561118505,4.46380738289,inf
142,concrete,baselineplus,8,best_val_loss,5.10881163894,6.59819458992,7.81829341765
