,datasetname,model,n_normflows,test_measures,value0,value1
82,boston,radialflowdet,8,val_error_rate,2.3556637764,2.51556301117
83,boston,radialflowdet,20,val_error_rate,inf,inf
84,boston,baselineplus,1,val_error_rate,8.99208068848,10.363658905
85,boston,baselineplus,2,val_error_rate,7.14508390427,7.17326068878
86,boston,baselineplus,3,val_error_rate,6.98304271698,8.99601078033
87,boston,baselineplus,4,val_error_rate,6.93600606918,7.11885643005
88,boston,baselineplus,8,val_error_rate,7.88606071472,10.1618928909
89,boston,baselineplus,20,val_error_rate,7.18408584595,7.39049386978
90,boston,planarflow,1,val_error_rate,3.92439842224,6.43232250214
91,boston,planarflow,2,val_error_rate,7.61054086685,8.31503868103
92,boston,planarflow,3,val_error_rate,3.07006502151,3.61293005943
93,boston,planarflow,4,val_error_rate,4.00755310059,4.15983486176
94,boston,planarflow,8,val_error_rate,5.99261808395,8.00855064392
95,boston,planarflow,20,val_error_rate,inf,inf
96,boston,baselinedet,1,val_error_rate,2.8809633255,3.11153936386
97,boston,baselinedet,2,val_error_rate,3.03403282166,3.10289812088
98,boston,baselinedet,3,val_error_rate,3.07499885559,3.08935880661
99,boston,baselinedet,4,val_error_rate,3.26218414307,4.18004798889
100,boston,baselinedet,8,val_error_rate,2.39512133598,2.42540454865
101,boston,baselinedet,20,val_error_rate,2.2791287899,2.65592932701
102,boston,radialflow,1,val_error_rate,5.37957000732,6.34712600708
103,boston,radialflow,2,val_error_rate,3.54966783524,3.6809566021
104,boston,radialflow,3,val_error_rate,3.52038216591,3.6754899025
105,boston,radialflow,4,val_error_rate,3.25663352013,3.64473485947
106,boston,radialflow,8,val_error_rate,3.45403504372,3.68407297134
107,boston,radialflow,20,val_error_rate,inf,inf
