,batch_size,best_epoch,best_test_loss,best_val_loss,datasetname,minus_log_s1,model,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_offset,opt_step_rate,percent,test_error_rate,test_measures,val_error_rate
28,100.0,420.0,20.256920908,6.91185475778,boston,4.0,baseline,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,7.91799926758,best_val_loss,9.2527179718
29,100.0,455.0,2.74785883286,2.61641684822,boston,2.0,baseline,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,4.3215970993,best_val_loss,3.94417023659
30,10.0,168.0,3.17563763787,3.23112559664,boston,2.0,baseline,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,10.4104061127,best_val_loss,9.47581481934
31,100.0,337.0,3.52150337369,3.21231817163,boston,2.0,baseline,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,3.80888676643,best_val_loss,3.61821293831
32,100.0,274.0,6.23915444168,6.31224607385,boston,4.0,baseline,3,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,7.66198968887,best_val_loss,9.5033864975
33,100.0,500.0,2.65911461325,2.41159217945,boston,3.0,baseline,4,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,12.1762552261,best_val_loss,14.9459161758
34,100.0,754.0,2.63965920841,2.34980663355,boston,3.0,baseline,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,9.51027965546,best_val_loss,9.78823471069
35,100.0,228.0,3.50146820966,3.33919751817,boston,3.0,baseline,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,7.29279279709,best_val_loss,9.33881187439
36,10.0,315.0,8.3451645795,7.13995482956,boston,6.0,planarflowdet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,15.0125350952,best_val_loss,14.3622865677
37,10.0,360.0,6.84870521695,6.0646699546,boston,6.0,planarflowdet,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,33.1362838745,best_val_loss,32.9254875183
38,100.0,758.0,42.6099679984,42.133188994,boston,4.0,planarflowdet,3,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,123.577964783,best_val_loss,106.942817688
39,10.0,85.0,6975.66837086,8095.1769135,boston,1.0,planarflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,861.595275879,best_val_loss,1107.88684082
40,100.0,176.0,25482.4340533,7327.83990036,boston,2.0,planarflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,1561.38000488,best_val_loss,1790.49572754
41,10.0,975.0,83953.3085938,42023.4549932,boston,2.0,planarflowdet,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,3859.98339844,best_val_loss,3137.57739258
42,100.0,549.0,5.50234267291,3.20074711675,boston,1.0,planarflowdet,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,20.1661529541,best_val_loss,14.2642965317
43,100.0,608.0,4.0214472752,4.00557299628,boston,3.0,planarflowdet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,29.551612854,best_val_loss,24.0974807739
44,10.0,1151.0,114.515849095,19.4911861143,boston,5.0,planarflowdet,3,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.5,38.8910255432,best_val_loss,23.8002128601
45,100.0,472.0,8.35274610332,6.68330123459,boston,4.0,planarflowdet,4,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,61.5611724854,best_val_loss,32.8376197815
46,100.0,708.0,16.0593127082,30.5805944913,boston,4.0,planarflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,112.662635803,best_val_loss,125.326316833
47,10.0,755.0,49.008368997,75.2751730214,boston,6.0,planarflowdet,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,62.8533210754,best_val_loss,77.2798538208
48,10.0,450.0,2.10434633143,2.22903791372,boston,2.0,planarflowdet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.98876667023,best_val_loss,3.28395414352
49,100.0,731.0,3.32480456782,3.05602264404,boston,4.0,planarflowdet,2,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,37.3707618713,best_val_loss,29.8877983093
50,100.0,293.0,6.41870925006,5.54758751911,boston,4.0,planarflowdet,3,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,33.6698265076,best_val_loss,20.4126930237
51,10.0,422.0,24.8199229521,21.0049464461,boston,5.0,planarflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,12.5454063416,best_val_loss,12.2395601273
52,100.0,592.0,5.88857104732,5.82065007307,boston,1.0,planarflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,69.1343307495,best_val_loss,72.7168579102
53,100.0,474.0,14.8608027439,8.56060448246,boston,3.0,planarflowdet,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,725.891235352,best_val_loss,402.391265869
54,10.0,293.0,4.43237394445,3.20479749597,boston,6.0,baselinedetplus,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,37.6168556213,best_val_loss,27.9043197632
55,10.0,96.0,7.17219094669,6.95424884299,boston,6.0,baselinedetplus,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,35.8426437378,best_val_loss,35.3959732056
56,100.0,65.0,4.34996122472,5.06884069028,boston,6.0,baselinedetplus,3,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.25,58.6982154846,best_val_loss,62.7420845032
57,10.0,59.0,7.21135277842,4.10971202021,boston,1.0,baselinedetplus,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,63.2104187012,best_val_loss,41.6903114319
58,100.0,114.0,9.65694352692,29.8866842519,boston,3.0,baselinedetplus,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.25,70.9635162354,best_val_loss,135.333633423
59,10.0,263.0,25.5550872204,30.0954324474,boston,5.0,baselinedetplus,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,162.593109131,best_val_loss,180.371032715
60,10.0,194.0,2.69594259823,2.09209077255,boston,4.0,baselinedetplus,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,24.7617721558,best_val_loss,18.9988479614
61,10.0,282.0,3.18665807387,2.70308303833,boston,4.0,baselinedetplus,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.5,43.1843719482,best_val_loss,34.624622345
62,10.0,196.0,2.45355748195,2.43271520863,boston,6.0,baselinedetplus,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,28.586183548,best_val_loss,26.6230049133
63,10.0,49.0,3.13345606187,2.72104346234,boston,1.0,baselinedetplus,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,49.3034706116,best_val_loss,32.3831481934
64,10.0,51.0,5.75131584616,4.53963735829,boston,5.0,baselinedetplus,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,63.3422584534,best_val_loss,52.1696395874
65,10.0,54.0,6.13495052562,6.38148763905,boston,6.0,baselinedetplus,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,99.5759811401,best_val_loss,103.737869263
66,10.0,63.0,2.00945551255,1.67937436311,boston,2.0,baselinedetplus,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,17.2476882935,best_val_loss,9.6870765686
67,100.0,100.0,6.43242869658,2.18177214913,boston,4.0,baselinedetplus,2,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,35.5765457153,best_val_loss,17.2005062103
68,10.0,153.0,2.35845289043,2.12121996672,boston,4.0,baselinedetplus,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,23.5508747101,best_val_loss,18.9182376862
69,10.0,224.0,2.75864455279,2.44087318752,boston,5.0,baselinedetplus,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,22.9203910828,best_val_loss,21.5227489471
70,10.0,101.0,2.82533952302,2.66462674348,boston,3.0,baselinedetplus,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,34.0186538696,best_val_loss,30.4057884216
71,10.0,70.0,6.45759073893,2.85463382887,boston,7.0,baselinedetplus,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,79.1482772827,best_val_loss,35.8957519531
72,10.0,312.0,11.1507518993,6.50473055632,boston,6.0,radialflowdet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,5.51004981995,best_val_loss,5.33190345764
73,100.0,624.0,1.18840067994,1.14089834517,boston,2.0,radialflowdet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,3.2193198204,best_val_loss,3.26909637451
74,10.0,663.0,4.80649678847,2.55597200255,boston,5.0,radialflowdet,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,3.80023670197,best_val_loss,3.79837703705
75,10.0,576.0,0.909020517387,0.669145128001,boston,1.0,radialflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,4.10910844803,best_val_loss,3.28699302673
76,100.0,645.0,2.61871794158,1.46874151368,boston,2.0,radialflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,3.53902482986,best_val_loss,2.66054534912
77,10.0,0.0,inf,16313.810377,boston,2.0,radialflowdet,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,inf,best_val_loss,inf
78,100.0,530.0,1.45813945695,1.19044660485,boston,1.0,radialflowdet,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,3.57225799561,best_val_loss,3.62453150749
79,100.0,339.0,12.7809523414,4.49983689405,boston,3.0,radialflowdet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,3.39601874352,best_val_loss,3.38798928261
80,100.0,690.0,2.31107996024,2.02684380352,boston,4.0,radialflowdet,3,0.954872181076,adam,0.000524172108033,0.000202032192523,0.01,0.5,5.51117706299,best_val_loss,5.05435991287
81,10.0,321.0,1.34864515417,0.838540636975,boston,1.0,radialflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,3.29759192467,best_val_loss,2.88767027855
82,100.0,415.0,4.56909553677,6.45704786328,boston,4.0,radialflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,3.5104393959,best_val_loss,3.33984398842
83,100.0,0.0,inf,734394.848505,boston,2.0,radialflowdet,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,inf,best_val_loss,inf
84,10.0,204.0,2.28936898475,2.1888343424,boston,2.0,radialflowdet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.0069565773,best_val_loss,2.8552737236
85,100.0,267.0,1.23013393552,0.856862817985,boston,2.0,radialflowdet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,2.83200979233,best_val_loss,2.86744737625
86,100.0,228.0,6.2149626788,5.5747022145,boston,4.0,radialflowdet,3,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,3.14289140701,best_val_loss,3.15871119499
87,10.0,104.0,36.4420471565,14.3214691134,boston,5.0,radialflowdet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,3.23058366776,best_val_loss,3.02828884125
88,100.0,288.0,1.15329383401,0.548236231873,boston,1.0,radialflowdet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,3.3363711834,best_val_loss,2.51495909691
89,100.0,0.0,inf,60011.6277174,boston,3.0,radialflowdet,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,inf,best_val_loss,inf
90,10.0,1419.0,2.82580745921,2.65499159219,boston,2.0,baselineplus,1,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,13.7516555786,best_val_loss,16.3217430115
91,100.0,911.0,6.04413320504,4.9874561144,boston,2.0,baselineplus,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,9.61905002594,best_val_loss,10.8162784576
92,10.0,279.0,83.2773202634,42.3946235214,boston,5.0,baselineplus,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,8.64718532562,best_val_loss,9.63609600067
93,10.0,1622.0,21.6578183642,23.9837520434,boston,5.0,baselineplus,4,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,10.6382751465,best_val_loss,11.4458312988
94,100.0,2073.0,218.378907596,213.926833554,boston,3.0,baselineplus,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.25,8.84328842163,best_val_loss,10.7173719406
95,100.0,1569.0,268.304370955,201.465531501,boston,5.0,baselineplus,20,0.954872181076,adam,0.000524172108033,0.000202032192523,0.01,0.25,10.920712471,best_val_loss,10.6314220428
96,100.0,627.0,4.19620768229,3.6960353022,boston,1.0,baselineplus,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,17.1409244537,best_val_loss,17.4551181793
97,10.0,1100.0,11.3105374505,7.94853088821,boston,4.0,baselineplus,2,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.5,8.48213863373,best_val_loss,10.8822784424
98,100.0,809.0,13.9157037174,9.2696370111,boston,4.0,baselineplus,3,0.954872181076,adam,0.000524172108033,0.000202032192523,0.01,0.5,11.7235136032,best_val_loss,11.9006633759
99,10.0,524.0,5.8950808656,6.80227650076,boston,1.0,baselineplus,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,25.9715442657,best_val_loss,26.8458843231
100,100.0,476.0,98.098367504,106.836839925,boston,4.0,baselineplus,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,8.49451255798,best_val_loss,8.78132343292
101,100.0,653.0,31.9485724954,33.6421754257,boston,2.0,baselineplus,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,34.0841331482,best_val_loss,28.5267982483
102,100.0,1920.0,3.67699312696,3.50030561806,boston,2.0,baselineplus,1,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,10.9229793549,best_val_loss,9.19632816315
103,100.0,314.0,5.65425573611,6.06444212319,boston,2.0,baselineplus,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,9.65913772583,best_val_loss,9.0625667572
104,100.0,2032.0,4.8433787028,4.64822376638,boston,2.0,baselineplus,3,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,11.807100296,best_val_loss,11.1496362686
105,100.0,1341.0,8.16232060451,6.67146483712,boston,3.0,baselineplus,4,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,11.5392875671,best_val_loss,12.404042244
106,100.0,1979.0,7.66773074281,7.90040439108,boston,3.0,baselineplus,8,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,1.0,11.0090055466,best_val_loss,11.0683231354
107,100.0,311.0,80.9229208254,86.9783156575,boston,3.0,baselineplus,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,10.4621477127,best_val_loss,8.4073972702
108,100.0,742.0,1476.0261389,1462.72113877,boston,4.0,planarflow,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,17.1605186462,best_val_loss,20.7232456207
109,100.0,153.0,1737.14590993,1203.5487149,boston,1.0,planarflow,2,0.809016152962,adam,4.61471782475e-05,0.000384870525734,0.01,0.25,794.809692383,best_val_loss,716.290466309
110,10.0,497.0,3902.74642914,2743.05967254,boston,5.0,planarflow,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,8.29109382629,best_val_loss,9.71033763885
111,10.0,124.0,1143.26819087,1453.77527032,boston,1.0,planarflow,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,226.433425903,best_val_loss,295.260314941
112,100.0,320.0,19786.872549,19419.5972317,boston,2.0,planarflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,566.455505371,best_val_loss,775.249816895
113,10.0,0.0,inf,,boston,2.0,planarflow,20,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,inf,best_val_loss,inf
114,100.0,539.0,4.42747736912,4.24420713342,boston,1.0,planarflow,1,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,13.3317098618,best_val_loss,13.8998022079
115,10.0,352.0,14.6174262552,12.6152150251,boston,5.0,planarflow,2,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,14.694270134,best_val_loss,15.1121273041
116,10.0,353.0,11.8885898964,11.7859254367,boston,6.0,planarflow,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,10.6818189621,best_val_loss,12.524687767
117,10.0,221.0,1338.91337316,1059.85783231,boston,1.0,planarflow,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,155.724655151,best_val_loss,165.693099976
118,10.0,723.0,10.4180425008,7.32794529459,boston,5.0,planarflow,8,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,6.91790390015,best_val_loss,8.71002292633
119,100.0,0.0,inf,,boston,2.0,planarflow,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.5,inf,best_val_loss,inf
120,10.0,329.0,6.16133536545,3.84223871646,boston,2.0,planarflow,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,7.92382001877,best_val_loss,8.50586605072
121,100.0,361.0,4.36326943192,4.07324146879,boston,2.0,planarflow,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,11.3530197144,best_val_loss,11.8579273224
122,10.0,359.0,7.24649586397,7.63151174352,boston,4.0,planarflow,3,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,1.0,8.93759632111,best_val_loss,9.20885658264
123,100.0,332.0,177.628221624,204.005122171,boston,6.0,planarflow,4,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,7.92395114899,best_val_loss,9.94550800323
124,100.0,471.0,8.28717549642,9.13035096984,boston,1.0,planarflow,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,19.9731483459,best_val_loss,21.9691448212
125,100.0,0.0,inf,,boston,3.0,planarflow,20,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,1.0,inf,best_val_loss,inf
126,10.0,656.0,6.0723733341,2.41055596393,boston,6.0,baselinedet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,22.7282485962,best_val_loss,12.9576244354
127,100.0,160.0,2.80535858753,2.22948920208,boston,2.0,baselinedet,2,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,20.7590007782,best_val_loss,16.4996070862
128,10.0,428.0,2.6985913445,1.78486533787,boston,4.0,baselinedet,3,0.988043649847,adam,0.0032993825343,0.00033191459417,0.001,0.25,21.5396308899,best_val_loss,13.5086994171
129,10.0,22.0,2.26682520848,2.9064908235,boston,1.0,baselinedet,4,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,21.0732765198,best_val_loss,32.1252822876
130,100.0,123.0,2.74865902171,2.19046368806,boston,2.0,baselinedet,8,0.953535830124,rmsprop,0.00662559384668,1.5814931372e-05,0.01,0.25,23.6867828369,best_val_loss,17.9440803528
131,10.0,380.0,1.27487332213,1.02945908256,boston,5.0,baselinedet,20,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.25,7.12345123291,best_val_loss,6.09211730957
132,10.0,786.0,0.812075671028,1.16084629556,boston,4.0,baselinedet,1,0.843650242283,adam,9.46773299684e-05,0.000322101694204,0.01,0.5,5.00321435928,best_val_loss,5.49561357498
