,best_val_error,best_val_loss,datasetname,modelname,n_normflows,opt_decay,opt_identifier,opt_momentum,opt_step_rate
55,6.1698012352,1.01701891089,concrete,planarflowdet,2,0.946767059908,rmsprop,0.00572619189748,0.001
56,17.0290470123,1.18330369628,concrete,planarflowdet,3,0.904882497394,rmsprop,0.00664346881683,0.01
57,16.2845611572,2.07517967087,concrete,planarflowdet,4,0.912909685765,rmsprop,0.973447443509,0.0001
58,686.644714355,1.45221524256,concrete,planarflowdet,8,0.983554581891,rmsprop,0.911135788228,0.001
59,17.0767650604,2.08454100906,concrete,planarflowdet,20,0.855134467683,adam,0.814380764219,0.001
60,4.31778717041,0.17556977945,concrete,radialflowdet,1,0.904882497394,rmsprop,0.00664346881683,0.01
61,4.55266618729,0.249578824607,concrete,radialflowdet,2,0.802574888412,adam,0.00170506295622,0.0001
62,4.32997274399,0.19324380608,concrete,radialflowdet,3,0.801062959819,adam,0.00621770522485,0.001
63,4.61131048203,0.415910939589,concrete,radialflowdet,4,0.963117866824,adam,0.868062801426,0.001
64,4.531062603,0.301163000018,concrete,radialflowdet,8,0.983554581891,rmsprop,0.911135788228,0.001
65,inf,10503351.4301,concrete,radialflowdet,20,0.904882497394,rmsprop,0.00664346881683,0.01
66,18.2701587677,1.48446132056,concrete,mixture,1,0.976976182591,adam,0.881366446805,0.001
67,18.3898067474,2.38239641087,concrete,mixture,2,0.967273240931,adam,0.842499234073,0.01
68,16.3878250122,2.08117700392,concrete,mixture,3,0.904882497394,rmsprop,0.00664346881683,0.01
69,6.68290805817,3.73792679763,concrete,mixture,4,0.912909685765,rmsprop,0.973447443509,0.0001
70,16.1206741333,2.51517024433,concrete,mixture,8,0.983554581891,rmsprop,0.911135788228,0.001
71,116.578666687,14.7332030812,concrete,mixture,20,0.904882497394,rmsprop,0.00664346881683,0.01
72,28.2976951599,12.1695703364,concrete,radialflow,1,0.904882497394,rmsprop,0.00664346881683,0.01
73,35.0829467773,10.1592799576,concrete,radialflow,2,0.802574888412,adam,0.00170506295622,0.0001
74,48.7499198914,23.1425105231,concrete,radialflow,3,0.904882497394,rmsprop,0.00664346881683,0.01
75,41.5617790222,12.7361957605,concrete,radialflow,4,0.912909685765,rmsprop,0.973447443509,0.0001
76,14.5635900497,1.41082609352,concrete,radialflow,8,0.912909685765,rmsprop,0.973447443509,0.0001
77,inf,inf,concrete,radialflow,20,0.904882497394,rmsprop,0.00664346881683,0.01
78,16.652387619,1.53641846359,concrete,baseline,1,0.976976182591,adam,0.881366446805,0.001
79,17.5058727264,1.98336102886,concrete,baseline,2,0.946767059908,rmsprop,0.00572619189748,0.001
80,12.0115776062,1.62535497194,concrete,baseline,3,0.904882497394,rmsprop,0.00664346881683,0.01
81,14.6441965103,1.6433316576,concrete,baseline,4,0.9571221857,adam,0.000989787180952,0.001
82,14.2844495773,1.5758634998,concrete,baseline,8,0.9571221857,adam,0.000989787180952,0.001
83,10.7702722549,1.83267810781,concrete,baseline,20,0.912909685765,rmsprop,0.973447443509,0.0001
84,10.6762313843,1.93571083862,concrete,planarflow,1,0.912909685765,rmsprop,0.973447443509,0.0001
85,17.4580192566,1.90490650464,concrete,planarflow,2,0.921663516074,adam,0.00617429367165,0.01
86,11.1512784958,1.9982185227,concrete,planarflow,3,0.912909685765,rmsprop,0.973447443509,0.0001
87,14.2467823029,2.51500649948,concrete,planarflow,4,0.912909685765,rmsprop,0.973447443509,0.0001
88,13.3742218018,3.03683482618,concrete,planarflow,8,0.912909685765,rmsprop,0.973447443509,0.0001
89,inf,,concrete,planarflow,20,0.904882497394,rmsprop,0.00664346881683,0.01
90,4.49786138535,0.06632115764,concrete,baselinedet,1,0.904882497394,rmsprop,0.00664346881683,0.01
91,4.50289344788,0.0439126568456,concrete,baselinedet,2,0.921663516074,adam,0.00617429367165,0.01
92,4.07477474213,0.000717840848431,concrete,baselinedet,3,0.863813152227,adam,0.00259801689953,0.01
93,5.11534976959,0.186704512565,concrete,baselinedet,4,0.963117866824,adam,0.868062801426,0.001
94,4.05184602737,-0.0186656764759,concrete,baselinedet,8,0.809016152962,adam,4.61471782475e-05,0.01
95,4.15916490555,0.0734045838797,concrete,baselinedet,20,0.922563906457,adadelta,0.969269280803,0.1
96,18.9573135376,1.9451326213,concrete,baselineplus,1,0.976976182591,adam,0.881366446805,0.001
97,10.9064741135,2.28341007574,concrete,baselineplus,2,0.9571221857,adam,0.000989787180952,0.001
98,14.7460422516,1.84730537989,concrete,baselineplus,3,0.9571221857,adam,0.000989787180952,0.001
99,16.4405345917,4.16561118505,concrete,baselineplus,4,0.963117866824,adam,0.868062801426,0.001
100,17.1911525726,5.10881163894,concrete,baselineplus,8,0.803889937534,adam,0.800655605607,0.1
101,14.9344978333,6.00651197536,concrete,baselineplus,20,0.977156756777,adam,0.00952030623784,0.0001
102,3.82793784142,-0.0477794421616,concrete,baselinedetplus,1,0.904882497394,rmsprop,0.00664346881683,0.01
103,4.07049894333,-0.0491121353642,concrete,baselinedetplus,2,0.883359400528,rmsprop,0.00767949743752,0.01
104,4.83698272705,0.17581851508,concrete,baselinedetplus,3,0.879320182305,adadelta,0.969514489555,0.1
105,7.02625608444,0.552188340054,concrete,baselinedetplus,4,0.963117866824,adam,0.868062801426,0.001
