,best_val_error,best_val_loss,datasetname,modelname,opt_decay,opt_identifier,opt_momentum,opt_step_rate
56,inf,-0.000658375725316,toy1d,planarflow,0.934724414831,adadelta,0.996509595239,0.001
57,inf,-0.010917701574,toy1d,planarflowdet,0.918582946022,rmsprop,0.00497246690821,0.01
58,inf,-0.00394269707817,toy1d,radialflow,0.934724414831,adadelta,0.996509595239,0.001
59,inf,-0.0149389991139,toy1d,radialflowdet,0.855134467683,adam,0.814380764219,0.001
60,inf,0.157860243791,toy1d,planarflow,0.855134467683,adam,0.814380764219,0.001
61,inf,0.1537011796,toy1d,planarflowdet,0.855134467683,adam,0.814380764219,0.001
62,inf,0.147414250981,toy1d,radialflow,0.855134467683,adam,0.814380764219,0.001
63,inf,0.13006359273,toy1d,radialflowdet,0.855134467683,adam,0.814380764219,0.001
64,inf,0.0283249666766,toy2d,planarflow,0.954872181076,adam,0.000524172108033,0.01
65,inf,0.0218435950336,toy2d,planarflowdet,0.96959740172,adam,0.865557324819,0.01
66,inf,0.0109806746487,toy2d,radialflow,0.977093949134,adam,0.000353999336952,0.1
67,inf,0.000502163906169,toy2d,radialflowdet,0.977093949134,adam,0.000353999336952,0.1
68,inf,1.45469168385,toy2d,planarflow,0.936229536545,adam,0.901751392341,0.001
69,inf,8.6691071592,toy2d,planarflowdet,0.936229536545,adam,0.901751392341,0.001
70,inf,1.89114212475,toy2d,radialflow,0.936229536545,adam,0.901751392341,0.001
71,inf,2.88674937736,toy2d,radialflowdet,0.936229536545,adam,0.901751392341,0.001
